id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12387401,JE257145,6/6/2021 21:30,034XX N HALSTED ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1925,19,44,6,6,1170319,1922907,2021,6/13/2021 16:53,41.94394845,-87.64938651,(41.94394845-87.64938651)
12388210,JE258049,6/6/2021 21:30,009XX N CAMBRIDGE AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,1823,18,27,8,08A,1172510,1906353,2021,6/13/2021 16:53,41.89847526,-87.64182411,(41.89847526-87.64182411)
12387592,JE257415,6/6/2021 21:30,022XX N SAWYER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1413,14,32,22,7,1154142,1914730,2021,6/13/2021 16:53,41.92184893,-87.70906471,(41.92184893-87.70906471)
12386762,JE256355,6/6/2021 21:29,012XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,1433,14,2,24,08A,1165636,1908202,2021,6/13/2021 16:53,41.90369831,-87.66701899,(41.90369831-87.66701899)
12386830,JE256378,6/6/2021 21:27,054XX S STATE ST,2027,NARCOTICS,POSSESS - CRACK,STREET,TRUE,FALSE,225,2,3,40,18,1177206,1868752,2021,6/13/2021 16:53,41.79519026,-87.62571415,(41.79519026-87.62571415)
12386812,JE256344,6/6/2021 21:24,003XX W MONTROSE DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARK PROPERTY,TRUE,FALSE,1914,19,46,3,15,1172628,1929753,2021,6/13/2021 16:53,41.9626832,-87.64069639,(41.9626832-87.64069639)
12386816,JE256351,6/6/2021 21:23,007XX N LOREL AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1524,15,37,25,04B,1140541,1904409,2021,6/13/2021 16:53,41.89378775,-87.75929288,(41.89378775-87.75929288)
12386949,JE256556,6/6/2021 21:18,064XX S HAMILTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,726,7,16,67,7,1163139,1861857,2021,6/13/2021 16:53,41.77657564,-87.67749093,(41.77657564-87.67749093)
12386819,JE256342,6/6/2021 21:04,118XX S PRINCETON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,522,5,34,53,08B,1176411,1826436,2021,6/13/2021 16:53,41.67908771,-87.62989772,(41.67908771-87.62989772)
12386880,JE256322,6/6/2021 21:03,0000X E 117TH PL,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,532,5,9,53,04B,1178659,1827064,2021,6/13/2021 16:53,41.68076038,-87.62165018,(41.68076038-87.62165018)
12386846,JE256339,6/6/2021 21:02,048XX W AUGUSTA BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1531,15,37,25,08B,1143943,1906209,2021,6/13/2021 16:53,41.89866402,-87.74675312,(41.89866402-87.74675312)
12387605,JE257501,6/6/2021 21:00,014XX N ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,1423,14,1,24,14,1158812,1909483,2021,6/13/2021 16:53,41.90735619,-87.69204996,(41.90735619-87.69204996)
